Place Name,Owner,Address,Stadtteil,Polnische Straße,Polnische Adresse
Leporowski, P., St. Adalbertstrasse 31.,,Św. Wojciech,Św. Wojciech 31, Poznań
Lewin, S., Krämerstr. 24.,,Kramarska,Kramarska 24, Poznań
Liebig, C., Victoriastr. 3.,,Seweryna Mielżyńskiego/Gwarna,Seweryna Mielżyńskiego/Gwarna 3, Poznań
Lira, M., Hedwigstr. 26, J.,Kraszewskiego,Kraszewskiego 26, Poznań
Machrzycki, F., Theaterstr. 2.,,3 Maja,3 Maja 2, Poznań
Maetze, C., Brombergerstr. 2a.,,Bydgoska,Bydgoska 2a, Poznań
Malinowski, M., Bismarckstr. 6.,,Kantaka,Kantaka 6, Poznań
Manczak, A., Gr. Berlinerstr. 1, J.,Dąbrowskiego,Dąbrowskiego 1, Poznań
Mandel, P., Wilhelmspl. 5.,,Pl. Wolnosci,Pl. Wolności 5, Poznań
Mangelsdorf, P., Friedrichstr. 30.,,26 lutego,26 lutego 30, Poznań
Manicki, V., Alt. Markt 77.,,Stary Rynek,Stary Rynek 77, Poznań
Markowski, C, St. Martinstr. 22.,,Św. Marcin,Św. Marcin 22, Poznań
Massow, S., Halbdorfstr. 25.,,Półwiejska,Półwiejska 25, Poznań
Matuszewski, M., Taubenstr. 5.,,Gołębia,Gołębia 5, Poznań
Matuszewski, J., Wilhemstr. 15.,,Al. Marcinkowskiego,Al. Marcinkowskiego 15, Poznań
Meineke ,F., Bachstr. 18,W,Gen. Sikorskiego,Gen. Sikorskiego 18, Poznań
Methner, J., Gr. Berlinerstr. 70, J.,Dąbrowskiego,Dąbrowskiego 70, Poznań
Mewes, O., Kronprinzenstr. 110, W.,Górna Wilda,Górna Wilda 110, Poznań
Meyer, R., Kais. Friedrichstr. 43,J.,Wawrzyniaka,Wawrzyniaka 43, Poznań
Michałski, A., Kasernenstr. 3 = Nollendorfstrasse, J.,Jackowskiego,Jackowskiego 3, Poznań
Miczynski, G., Bäckerstr. 17.,,Piekary,Piekary 17, Poznań
Mihram, H., Piotrowo 1.,,Piotrowo,Piotrowo 1, Poznań
Mikołajczak, M, Krämerstr. 19/20.,,Kramarska,Kramarska 19/20, Poznań
Mikołajczak, F. , Friedrichstr. 14.,,23 lutego,23 Lutego 14, Poznań
Miskiewiez, J., Alt. Markt 58.,,Stary Rynek,Stary Rynek 58, Poznań
Mittelstaedt, A., Wronkerstr. 15.,,Wroniecka,Wroniecka 15, Poznań
Mittmann, P., Kronprinzenstr. 7, W.,Górna Wilda,Górna Wilda 7, Poznań
Mohaupt, E., Fabrikstr. 6 W.,,Fabryczna,Fabryczna 6, Poznań
Musiałowski, V., St. Martinstr. 3.,,Św. Marcin,Św. Marcin 3, Poznań
Muthmann, G., Mühlthor 2,, Brama Młyńska 2,Brama Młyńska 2, Poznań
Nehring, S., Fischerei 9.,,Rybaki,Rybaki 9, Poznań
Nerlich, A., St. Martinstr. 31.,,Św. Marcin,Św. Marcin 31, Poznań
Neuhof, B., Schützenstr. 5.,,Strzelecka,Strzelecka 5, Poznań
Nowacki, L., Gr. Gerberstr. 23.,,Garbary,Garbary 23, Poznań
Nowicka, P., Bukerstr. 35, J.,Bukowska,Bukowska 35, Poznań
Nowicka, G. , Ritterstr. 26.,,Ratajczaka,Ratajczaka 26, Poznań
Nowotny, A., Berdychowo 6.,, Berdychowo 6.,Berdychowo 6, Poznań
Okoniewski, W, St. Roch 11.,,Św. Rocha,Św. Rocha 11, Poznań
Olszewski, P., Eichwaldstr. 3.,,Droga Dębińska,Droga Dębińska 3, Poznań
Olszewski, W., St. Martinstr. 45.,,Św. Marcin,Św. Marcin 45, Poznań
Opitz, F., Villenstr. 80, W.,Dolna Wilda,Dolna Wilda 80, Poznań
Paluszkiewiez, L., Kaiser Friedrichstr.41, J.,Wawrzyniaka,Wawrzyniaka 41, Poznań
Pierski, P., St.  Martinstr. 41.,,Św. Marcin,Św. Marcin 41, Poznań
Pietrowski, J., Jesuitenstr. 4.,,Świętosławska,Świętosławska 4, Poznań
Piotrowski, J., Klosterstr. 12,,Klasztorna,Klasztorna 12, Poznań
Piotrowski, W., Schiessstr. 5.,,Strzałowa,Strzałowa 5, Poznań
Plucinski, J., Eichwaldstr. 1.,,Droga Dębińska,Droga Dębińska 1, Poznań
Pohl, O., Bergstr. 12a.,,Podgórna,Podgórna 12a, Poznań
Przybylski, J., Wronkerstr. 12.,,Wroniecka,Wroniecka 12, Poznań
Quenstädt, E., St. Adalbertstr. 25.,,Św. Wojciech,Św. Wojciech 25, Poznań
Rabski, F., Ritterstr. 38.,,Ratajczaka,Ratajczaka 38, Poznań
Rau, E., Kaiser Friedrichstr. 41, J.,Wawrzyniaka,Wawrzyniaka 41, Poznań
Rehdanz, F., Glogauerstr. 104, L.,Głogowska,Głogowska 104, Poznań
