Place Name,Owner,Address,Phone Number,Type,unnamed (1),Adressen PLZ
Knasiecki, F.,,Kronprinzenstr.42,,Restaurateure,,Górna Wilda 42 – 61-565
Knoll, B.,,Lange Str. 8,,Restaurateure,,Długa 8 – 61-848
Kocik, M.,,Eichwaldstr, 22,,Restaurateure,,Droga Dębińska 22 - Poznań
Koenig, P.,,Wilhelmstr. 23,,Restaurateure,,Al. Marcinkowskiego 23 – 61-827
Kolaski, A.,,Wallischei 67,,Restaurateure,,Chwaliszewo 67 – 61-105
Kopischke, M.,,Viktoriastr. 23,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 23 – 61-729
Koplinski, J.,,Breslauer Str, 18,,Restaurateure,,Wrocławska 18 - 61-837 Poznań
Korytowski, S.,in F. H. Knaster Nachf.,Schützenstr. 33,,Restaurateure,,Strzelecka 32 – 61-845
Kowalski, A.,,Büttelstr. 1,,Restaurateure,,Woźna 1 - 61-777 Poznań
Kowarsch, H.,,Büttelstr. 14,,Restaurateure,,Woźna 14 - 61-777 Poznań
Kramer,,Auguste-Viktoria-Strasse 383,,Restaurateure,,Grunwaldzka 383 - Poznań
Krawczyk,,Alter Markt 25/28,,Restaurateure,,Stary Rynek 25/28 - 61-772 Poznań
Krebs, G.,,Friedriehstr. 11,,Restaurateure,,23 Lutego 11 - 61-742 Poznań
Krebs, L.,,Bahnstr, 53,,Restaurateure,,Kolejowa 53 - 60-715 Poznań
Kromolicki, V.,,Gr. Berliner Strasse 98,,Restaurateure,,Dąbrowskiego 98 – Poznań
Krugiolka,,Kronprinzenstr. 14,,Restaurateure,,Górna Wilda 14 – 61-565
Kruk, M.,,Ziegenstr. 13,,Restaurateure,,Kozia 13 – 61-835
Krzyzagorski, T.,,Alt. Markt 9,,Restaurateure,,Stary Rynek 9 - 61-772 Poznań
Kubitzki, K.,,Eichwaldstr. 11,,Restaurateure,,Droga Dębińska 11 - Poznań
Kucharska, L.,,Fischerei 29,,Restaurateure,,Rybaki 29 - 61-884 Poznań
Kuczynska, St.,,Urbanowoer Strasse 6,,Restaurateure,,Urbanowska 6 – Poznan
Kudlinski, J.,,Wittelsbacherstr. 1,,Restaurateure,,Zeylanda 1 – 60-845
Kunkel, R.,,Aug.-Viktoria-Str. 31,,Restaurateure,,Grunwaldzka 31 - Poznań
Kuntnawitz, O.,,Grenzstr. 5,,Restaurateure,,Graniczna 5 – 60-113
Kunze, E.,,Posener Str. 18a,,Restaurateure,,Poznańska 18a – 60-849
Kurkowiak, V.,,Wallischei 69,,Restaurateure,,Chwaliszewo 69 – 61-105
Kutzner, K.,,St. Martinstr, 39,,Restaurateure,,Św. Marcin 39 – 61-806
Kutzner, P.,,Alter Markt 31,,Restaurateure,,Stary Rynek 31 - 61-772 Poznań
Lachmanski,,Sapiehapl. 2/2a,,Restaurateure,,Plac Wielkopolski 2/2a – 61-746
Lajdyk,,Schuhmacherstr. 6,,Restaurateure,,Szewska 20 – Poznan
Lange, A.,,Märkische Str. 8a,,Restaurateure,,Składowa 8a – 61-897
Laski,,Gerberdamm 4,,Restaurateure,,Garbary 4 - 61-868 Poznań
Lehmann, A.,,Mühlenstr. 12,,Restaurateure,,Młyńska 12 – 61-729
Lehmann, G.,,Schifferstr. 20,,Restaurateure,,Szyperska 20 – Poznan
Lexandrowicz, St.,,St. Adalbertstrasse 1,,Restaurateure,,Św. Wojciech 1 – 61-749
Lindner, O.,,Gr. Berliner Str. 33,,Restaurateure,,Dąbrowskiego 33 – Poznań
Linke, F.,,Hahnkestr. 24,,Restaurateure,,Niedziałkowskiego 24 – 61-579
Lira, St.,,Hedwigstr. 26,,Restaurateure,,Kraszewskiego 26 – 60-501
Lisiewicz, A.,,Lazarusstr. 3,,Restaurateure,,Głogowska 3 – 60-702
Lobing, W.,,Theaterstr. 5,,Restaurateure,,3 Maja 5 – 61-728
Lopatka,,Kirchstr. 15,,Restaurateure,,Kościelna 15 – 60-538
Luka,,Wallischei 58/59,,Restaurateure,,Chwaliszewo 58/59 – 61-105
Machinski, T.,,Breslauer Str. 29,,Restaurateure,,Wrocławska 29 - 61-837 Poznań
Maetze, K.,,Bromberger Str. 2a,,Restaurateure,,Bydgoska 2a - 61-126 Poznań
Majewski, Z.,,Büttelstr, 13,,Restaurateure,,Woźna 13 - 61-777 Poznań
Malecki, A.,,Wallischei 75,,Restaurateure,,Chwaliszewo 75 – 61-105
Malewski, T.,,Dominikanerstr. 3,,Restaurateure,,Dominikańska 3 - 61-763 Poznań
Mandel, P.,,Ritterstr. 18,,Restaurateure,,Ratajczaka 18 Poznan
Marcinkowski, J.,,Gr. Berliner Strasse 39,,Restaurateure,,Dąbrowskiego 39 – Poznań
Marquardt, P.,,Breite Str. 10,,Restaurateure,,Wielka 10 - 61-774 Poznań
Martinkus, H.,,Viktoriastr. 25,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 25 – 61-729
Matiszak,,Neuer Markt 9/10,,Restaurateure,,Pl. Kolegiacki 9/10 – 61-841
Matuszewski, A.,,Warschauer Strasse 1b,,Restaurateure,,Warszawska 1b – 61-028
Matysiak, V.,,Festungsstr. 4,,Restaurateure,,Jeżycka 4, 60-863 Poznań, Polen
May, Fr.,,Gr. Berliner Str. 26,,Restaurateure,,Dąbrowskiego 26 – Poznań
May, R.,,Blumenstr. 1,,Restaurateure,,Kwiatowa 1 - 61-883 Poznań
Meissner, R.,,Glogauer Str. 51,,Restaurateure,,Roosevelta/Głogowska 51 - 60-809 Poznań
Metelska, Th.,,Gr. Gerberstr, 43,,Restaurateure,,Garbary 43 – 61-868
Metlitzky,,Buker Str. 35,,Restaurateure,,Bukowska 35 - Poznań
Metropol,,Berliner Str. 13,,Restaurateure,,27 Grudnia 13 - Poznań
Mettler, L.,,Promenadenpark,,Restaurateure,,Stanisława Moniuszki – Poznan
Mettner, Gr.,,Berliner Str. 70,,Restaurateure,,27 Grudnia 70 - Poznań
Miadowicz, W.,,Bachstr, 34,,Restaurateure,,Gen. Sikorskiego 34 - 61-145 Poznań
Mikolajczak, F.,,Königsplatz 9,,Restaurateure,,Pl. Ratajskiego 9 – 61-726
Mikolajczak, J.,,Lazarusstr. 109,,Restaurateure,,Głogowska 109 – 60-702
Milantowski, V.,,Blücherstr. 17a,,Restaurateure,,Kosińskiego 17a - 61-519 Poznań
Misera, J.,,Posener Str. 57,,Restaurateure,,Poznańska 57 – 60-849
Mittmann, E.,,Kronprinzenstr. 1,,Restaurateure,,Górna Wilda 1 – 61-565
Mlody, F.,,Stadtpark Solatsch,,Restaurateure,,Park Sołacki – 60-836
Mohaupt, E.,,Kronprinzenstr. 84,,Restaurateure,,Górna Wilda 84 – 61-565
Mühlenschlag, E.,,Königspl. 10b,,Restaurateure,,Pl. Ratajskiego 10b – 61-726
Münchener Thomasbräu,Inh. Jahn,Berliner Str. 10,,Restaurateure,,27 Grudnia 10 - Poznań
Mund,,,Am Rosengarten 4,,Restaurateure,,Poplińskich 4 - 61-573 Poznań
Murawski, St.,,Büttelstr. 18,,Restaurateure,,Woźna 18 - 61-777 Poznań
Musial,,Bäckerstr. 20/21,,Restaurateure,,Piekary 20/21 - 61-823 Poznań
Muth, L.,,Lazarusstr. 51,,Restaurateure,,Głogowska 51 – 60-702
Muthmann, K.,,Kais.-Wilhelm-Strasse 12,,Restaurateure,,Szamarzewskiego 12 – 60-514
Neue Posener Bayrische Bierquelle,,Friedrichstr. 31,,Restaurateure,,23 Lutego 31 - 61-742 Poznań
Neusser, V.,,Oberwall 11,,Restaurateure,,Kościuszki 11 – 61-891
Neuweck, M.,,Alt. Markt 80/82,,Restaurateure,,Stary Rynek 80/82 - 61-772 Poznań
Nowacki, K.,,Hohenlohestr. 12,,Restaurateure,,Żupańskiego 12 – 60-673
Nowak,,,Nasse Gasse 1,,Restaurateure,,Mokra 1, 61-766 Poznań, Polen
Nowak, J.,,Breite Str. 8,,Restaurateure,,Wielka 8 - 61-774 Poznań
Nowak, S.,,Arndtstr. 29,,Restaurateure,,Stanisława Knapowskiego 29 - 60-559 Poznań
Nowak, V.,,Gr. Berliner Str. 115,,Restaurateure,,Dąbrowskiego  115 – Poznań
Nowak, Wl.,,Südstr, 7,,Restaurateure,,Grochowe Łąki 7 – 61-752
Nowicki, J.,,Gr. Gerberstr. 23,,Restaurateure,,Garbary 23 – 61-868
Nowicki, St.,,Grabenstr. 17,,Restaurateure,,Grobla 17 – 61-859
Olejniezak, V.,,Parkstr. 6,,Restaurateure,,J. Strusia 6 – Poznan
Olinski,,Kronprinzenstr. 8,,Restaurateure,,Górna Wilda 8 – 61-565
Olinski, S.,,Halbdorfstr. 38a,,Restaurateure,,Półwiejska 38a – 61-888
Olszewski, R.,,St. Adalbertstr, 2,,Restaurateure,,Św. Wojciech 2 – 61-749
Opitz, F.,,Eichwaldstr. 9,,Restaurateure,,Droga Dębińska 9 - Poznań
Opitz, F.,,Unterwilda 80,,Restaurateure,,Dolna Wilda 80 – 61-503
Orzechowski,Pschorr-Bräu,Alter Markt 80/81/82,,Restaurateure,,Stary Rynek 80/81/82 - 61-772 Poznań
Panczak,,Bülowstr. 12,,Restaurateure,,Kilińskiego 12, 61-532 Poznań, Polen
Parczynski, St.,,Friedrichstr. 31,,Restaurateure,,23 Lutego 31 - 61-742 Poznań
Passage,Inh. Pokrywka,J., Breslauer Str. 26/30,,Restaurateure,,Wrocławska 26/30 – 61-838
Patzenhofer Brauerei-Aussch.,Inh. P. Wechsung,Berliner Strasse 19,,Restaurateure,,27 Grudnia 19 - Poznań
Pawlak, F.,,Torstr, 6,,Restaurateure,,Za Bramką 6 – 61-842
Perz, J.,,St. Adalbertstr. 14/15,,Restaurateure,,Św. Wojciech 14/15 – 61-749
Pfeiffer, G.,,Fabrikstr. 38,,Restaurateure,,Fabryczna 38 - 61-523 Poznań
Pfeiffer, St.,,Laxarusstr, 17,,Restaurateure,,Głogowska 17 – 60-702
Piechowiak, J.,,Posener Str. 7,,Restaurateure,,Poznańska 7 – 60-849
Pielucha, M.,,Gr. Berliner Str. 49,,Restaurateure,,Dąbrowskiego 49 – Poznań
Piotrowski, J.,,Halbdorfstr. 16,,Restaurateure,,Półwiejska 16 – 61-888
Plaginz, K.,,Charlottenstr. 3,,Restaurateure,,CW64+3W Posen, Polen
Plinzner,,Klosterstr. 2,,Restaurateure,,Klasztorna 2 – 61-779
Plotkowiak,,Lazarusmarkt 4,,Restaurateure,,Rynek Łazarski 4 – 60-731
Pohle, G.,,Tiergartenstr. 1,,Restaurateure,,Zwierzyniecka 1 – 60-813
Poszwa, T.,,Wallischei 70,,Restaurateure,,Chwaliszewo 70 – 61-105
Przedpelski, A.,,Alter Markt 65,,Restaurateure,,Stary Rynek 65 - 61-772 Poznań
Przedpelski, A.,,Gr. Berliner Strasse 65,,Restaurateure,,Dąbrowskiego 65 – Poznań
Przybyl,,Wallischei 57,,Restaurateure,,Chwaliszewo 57 – 61-105
Przybyl, T.,,Wittelsbacherstr. 6,,Restaurateure,,Zeylanda 6 – 60-845
Przybylski, F.,,Eichwaldstr. 20,,Restaurateure,,Droga Dębińska 20 Poznań
Przybyszewski, K.,,Lazarusstr. 40,,Restaurateure,,Głogowska 40 – 60-702
Pudlowski, J.,,Wronker Str. 12,,Restaurateure,,Wroniecka 12 – 61-763
Quast, T.,,Zentralstr. 3,,Restaurateure,,52°24'04.3"N 16°54'33.5"E
Quenstedt,,St. Adalbertstr. 25,,Restaurateure,,Św. Wojciech 25 – 61-749
Raczyk, P.,,Sandstr. 2/3,,Restaurateure,,Piaskowa 2/3 – 61-751
Raether, H.,,Glogauer Str. 102,,Restaurateure,,Głogowska 102 - 60-809 Poznań
Rausch, O.,,Grenzstr. 13/14,,Restaurateure,,Graniczna 13/14 – 60-113
Reichshallen,,Herderstr. 12,,Restaurateure,,Śniadeckich 12 – 60-773
Reinke, H.,,Margaretenstr, 27,,Restaurateure,,Przemysłowa 27 – 61-579
Reszka, P.,,Gutenbergstr. 12,,Restaurateure,,Mottego 12 – 61-680
Richter,,Buker Str. 5,,Restaurateure,,Bukowska 5 - 60-809 Poznań
Richter, A.,,Gr. Gerberstr. 1,,Restaurateure,,Garbary 1 – 61-866
Richter, E.,,Fabrikstr, 35,,Restaurateure,,Fabryczna 35 - 61-523 Poznań
Richter, Th.,,Blücherstr. 14,,Restaurateure,,Kosińskiego 14 - 61-519 Poznań
Rio, F.,,Wasserstr. 17/18,,Restaurateure,,Wodna 17/18 – Poznan
Rischke, P.,,Bahnstr. 46,,Restaurateure,,Kolejowa 46 - 60-715 Poznań
Roche, A.,,Am Berliner Tor 9,,Restaurateure,,Św. Marcin 9 - Poznań
Röhr, W.,,Breslauer Str. 58,,Restaurateure,,Wrocławska 58 - 61-837 Poznań
Rosenberger, R.,,Kronprinzenstrasse 28,,Restaurateure,,Górna Wilda 28 – 61-565
